date,detrended_turnover,turnover_per_share,total_turnover,total_shares
4/01/2006,0.04266937874016635,0.08270017755902612,2243899.7,27132949.0
5/01/2006,0.5375581468311929,0.09253795081397159,2510827.4999999995,27132949.0
6/01/2006,0.029768135603399498,0.08142548751335506,2209313.5999999996,27132949.0
7/01/2006,-0.5566537819212964,0.06910629393894238,1877870.1,27173647.912
8/01/2006,-0.20523329443545776,0.0759088348555482,2064997.9000000001,27203656.912
9/01/2006,-0.00016901188425039182,0.07818796961307597,2126998.7,27203656.912
10/01/2006,-0.23964280620656295,0.07216226370096049,2105769.4,29181033.022
11/01/2006,-0.1132129773525399,0.07468241094676076,2179309.9,29181033.022
12/01/2006,-0.1980487804388746,0.07291641794846121,2127776.4,29181033.022
1/01/2007,-1.0745258115986718,0.05535698254798082,2208625.2,39897861.0889
2/01/2007,-1.175794106343506,0.05314534123061356,2120387.8,39897905.4589
3/01/2007,0.15837341049203396,0.08002274964757072,3192740.0999999996,39897905.4589
4/01/2007,-0.8134361118888221,0.060638460416893976,2439457.9,40229548.7588
5/01/2007,-1.0650034217810762,0.0555991620302621,2242493.1999999997,40333219.388799995
6/01/2007,-0.6654815041235835,0.0635124628982962,2561662.1,40333219.388799995
7/01/2007,-0.7844732426075866,0.06048450054553025,2438246.2,40311917.565799996
8/01/2007,0.3761578361453626,0.08386551516279642,3354656.8000000003,40000431.565799996
9/01/2007,-0.4659983138157249,0.06660634887444407,2664282.6999999997,40000431.565799996
10/01/2007,-0.526479098851005,0.06504945272918425,2602221.2,40003737.0158
11/01/2007,-0.2839526158398269,0.069638056537061,2785782.5,40003737.0158
12/01/2007,-1.0234417734028871,0.05477952541881837,2189068.5,39961436.0158
1/01/2008,0.3458166153538812,0.08261182984097289,3249665.6,39336564.826799996
2/01/2008,0.164298493943818,0.07888089398914652,3102903.4000000004,39336564.826799996
3/01/2008,-0.09081810096884593,0.073445101592391,2889078.0,39336564.826799996
4/01/2008,-0.3092286222497881,0.06903585976776473,2713010.1,39298563.226799995
5/01/2008,-1.3157720889194429,0.048393135622400156,1901780.6999999997,39298563.226799995
6/01/2008,-0.3993628807423939,0.0663527820330527,2607569.0,39298563.226799995
7/01/2008,0.15817431475601273,0.0776018551403779,3047504.3999999994,39271025.086799994
8/01/2008,-0.556419954877372,0.06320339313136679,2481596.5,39263659.3868
9/01/2008,0.48431352790853227,0.08394107048279924,3295833.6000000006,39263659.3868
10/01/2008,1.492204942733181,0.10461558527663321,4097376.9,39166027.5968
11/01/2008,0.2473987148716432,0.0796715692155062,3122620.6,39193662.5668
12/01/2008,-0.9758239847830301,0.05470343824963565,2144028.1,39193662.5668
1/01/2009,-1.3703324400639971,0.046300469715133165,1946888.7000000002,42049005.3768
2/01/2009,-0.6695607959288388,0.05973358869940746,2511615.7,42046958.079799995
3/01/2009,-0.27118587246962866,0.06727859479169969,2858354.0,42485340.37979999
4/01/2009,-0.803481532137617,0.05643300954908226,2391213.6,42372604.5998
5/01/2009,-0.6859240592524254,0.0584909527020106,2480098.2,42401398.5998
6/01/2009,-1.0083344441681241,0.051800840905841666,2196543.9,42403634.0258
7/01/2009,-1.5068643396978627,0.04144721315361458,1773604.0,42791875.859699994
8/01/2009,-0.6304550164025341,0.05864086822810817,2511860.8,42834645.4597
