,IPOdate,company,companyID,Trading Location
110,16/05/2012,Core Laboratories N.V.,NL0000200384,Amsterdam
111,16/05/2012,Core Laboratories N.V.,NL0000200384,Amsterdam
112,26/04/2012,BTG Pactual,US05890C3034,Amsterdam
113,26/04/2012,BTG Pactual,US05890C3034,Amsterdam
114,21/03/2012,Ziggo,NL0006294290,Amsterdam
115,21/03/2012,Ziggo,NL0006294290,Amsterdam
116,26/05/2011,TNT Express,NL0009739424,Amsterdam
117,13/04/2011,ABN AMRO Bank N.V.,,Amsterdam
118,04/04/2011,INTEREFFEKT BRAZIL WARRANTS,,Amsterdam
119,17/02/2011,NIBC Bank N.V.,,Amsterdam
120,04/02/2011,ACCSYS,GB00B0LMC530,Amsterdam
121,26/01/2011,APERAM,LU0569974404,Amsterdam
122,26/01/2011,APERAM,,"Amsterdam, Paris"
123,29/11/2010,DOCKWISE,BMG2786A2052,Amsterdam
124,06/10/2010,AMT HOLDING,NL0000886968,Amsterdam
125,05/08/2010,LBI INTERNATIONAL,NL0009508720,Amsterdam
126,27/05/2010,PHARMING GROUP,NL0000377018,Amsterdam
127,08/03/2010,OCTOPLUS,NL0000345718,Amsterdam
128,23/02/2010,NR NORDIC RUSSIA,JE00B1G3KL02,Amsterdam
129,23/02/2010,NR NORDIC RUSSIA,JE00B1G3KL02,Amsterdam
130,02/02/2010,ACCSYS,GB00B0LMC530,Amsterdam
131,23/12/2009,INNOCONCEPTS,NL0000361145,Amsterdam
132,23/12/2009,INNOCONCEPTS,NL0000361145,Amsterdam
133,03/12/2009,DOCKWISE,BMG2786A2052,Amsterdam
134,23/10/2009,THUNDERBIRD,VGG885761061,Amsterdam
135,23/10/2009,THUNDERBIRD,VGG885761061,Amsterdam
136,13/10/2009,CRYO SAVE GROUP,NL0009272137,Amsterdam
137,19/08/2009,ATRIUM EUR REALEST,JE00B3DCF752,Amsterdam
138,01/07/2009,TOMTOM,,Amsterdam
139,01/06/2009,TOMTOM,,Amsterdam
140,22/05/2009,OCTOPLUS,NL0000345718,Amsterdam
141,27/10/2008,THUNDERBIRD,VGG885761061,Amsterdam
142,12/09/2008,PORCELEYNE FLES,NL0000378669,Amsterdam
143,18/07/2008,GERMANY1 ACQ,GG00B39QD112,Amsterdam
144,22/04/2008,ROY BK OF SCOTLAND,GB0007547838,Amsterdam
145,31/03/2008,INTEREFF EM AFRICA,NL0006173007,Amsterdam
146,18/03/2008,BROOKFIELD ASSET M,CA1125851040,Amsterdam
147,06/02/2008,LIBERTY ACQ,KYG678611156,Amsterdam
148,23/01/2008,SATYAM COMPUTER SERVICES-ADR A,,Amsterdam
149,18/12/2007,NR NORDIC RUSSIA,JE00B1G3KL02,Amsterdam
150,18/12/2007,PUNCH GRAPHIX,NL0006007247,Amsterdam
151,18/12/2007,PUNCH GRAPHIX,NL0006007247,Amsterdam
152,06/12/2007,HARBOURVEST HVGPE,GG00B28XHD63,Amsterdam
153,03/12/2007,OCTOPLUS,NL0000345718,Amsterdam
154,03/12/2007,OCTOPLUS,NL0000345718,Amsterdam
155,28/11/2007,BINCKBANK,NL0000335578,Amsterdam
156,28/11/2007,BINCKBANK,NL0000335578,Amsterdam
157,22/11/2007,MEI RUSLAND MID FO,NL0006033219,Amsterdam
158,03/11/2007,DELTA LLOYD,NL0009294552,Amsterdam
159,17/10/2007,YATRA,JE00B1FBT077,Amsterdam
160,15/10/2007,ROY BK OF SCOTLAND,GB0007547838,Amsterdam
161,18/09/2007,ACCSYS,GB00B0LMC530,"Amsterdam, Europe"
162,03/09/2007,ARCELORMITTAL,LU0307198241,Amsterdam
163,19/07/2007,PEHAC,NL0000293686,Amsterdam
164,18/07/2007,NB PRIV EQ PARTN,GG00B1ZBD492,Amsterdam
165,17/07/2007,YATRA,JE00B1FBT077,Amsterdam
166,12/07/2007,LEO CAPITAL GROWTH,KYG545791009,Amsterdam
167,11/07/2007,AMG,NL0000888691,Amsterdam
168,04/07/2007,CARLYLE CAPITAL,GG00B1VYV826,Amsterdam
169,29/06/2007,CONVERSUS CAP,GG00B1WR8K11,Amsterdam
170,26/06/2007,SNS REAAL,NL0000390706,Amsterdam
171,26/06/2007,SNS REAAL,NL0000390706,Amsterdam
172,22/06/2007,UNIBAIL-RODAMCO,FR0000124711,Amsterdam
173,22/06/2007,QURIUS,NL0000368140,Amsterdam
174,20/06/2007,AMT HOLDING,NL0000886968,Amsterdam
175,19/04/2007,TETRAGON FIN GROUP,GG00B1RMC548,Amsterdam
176,15/12/2006,VOLTA FINANCE,GG00B1GHHH78,Amsterdam
177,08/12/2006,MW TOPS,GG00B1GGVL67,Amsterdam
178,06/12/2006,YATRA,JE00B1FBT077,Amsterdam
179,24/11/2006,TMC,NL0000290997,Amsterdam
180,02/11/2006,BOUSSARD GAVAUDAN,GG00B1FQG453,Amsterdam
181,04/10/2006,OCTOPLUS,NL0000345718,Amsterdam
182,22/09/2006,PROLOGIS EURO PROP,LU0100194785,Amsterdam
183,08/08/2006,AP Alternative Assets L.P.,GB00B15Y0C52,Amsterdam
184,01/08/2006,LBI International AB,SE0000495293,Amsterdam
185,26/06/2006,ONCOMETHYLOME SCNC,BE0003844611,Amsterdam
186,18/05/2006,SNS REAAL,NL0000390706,Amsterdam
187,03/05/2006,KKR,GB00B13BNQ35,Amsterdam
188,12/04/2006,ROYALREESINK,NL0000379303,Amsterdam
189,12/04/2006,ROYALREESINK,NL0000379303,Amsterdam
190,15/12/2005,EUROCASTLE INVEST.,GB00B01C5N27,Amsterdam
191,22/11/2005,ENDEMOL,NL0000345692,Amsterdam
192,18/11/2005,TELE ATLAS,NL0000233948,Amsterdam
193,27/05/2005,TOMTOM,NL0000387058,Amsterdam
194,06/05/2005,GALAPAGOS,BE0003818359,Amsterdam
195,09/07/2004,LB ICON AB,SE0000476962,Amsterdam
196,27/05/2004,SPYKER CARS,NL0000380830,Amsterdam
197,10/07/2003,KARDAN,NL0000113652,Amsterdam
198,10/07/2003,KARDAN,NL0000113652,Amsterdam
