date,googletrends_pca
2018-03-01,-2.3030950896146716
2018-04-01,-3.0103884288843497
2018-05-01,-3.2525745056373547
2018-06-01,-2.8046709041644733
2018-07-01,-3.3723595878541346
2018-08-01,-2.455014644920948
2018-09-01,-2.341601342314385
2018-10-01,-1.2693556702309792
2018-11-01,-1.9028779527778774
2018-12-01,-1.5376127976923912
2019-01-01,-1.6002158400481745
2019-02-01,-2.756423523351304
2019-03-01,-2.501271449987335
2019-04-01,-2.8282268840678215
2019-05-01,-2.1258492797148048
2019-06-01,-3.149466210958572
2019-07-01,-2.7288240401722614
2019-08-01,-1.7925317443382172
2019-09-01,-2.1463695837543066
2019-10-01,-2.1281108695395683
2019-11-01,-1.8915623021560546
2019-12-01,-1.4857155029134506
2020-01-01,0.8666480282584417
2020-02-01,2.9244783693340817
