date,consumer_sentiment_pca
2000-10-01,3.9200759308661
2000-11-01,3.7072246757067666
2000-12-01,3.9146375384907426
2001-01-01,3.2546161850237216
2001-02-01,2.6163141435132893
2001-03-01,1.8526838699078194
2001-04-01,1.0955528449256893
2001-05-01,1.0370298053182399
2001-06-01,0.6599726998210667
2001-07-01,0.5826335273145168
2001-08-01,0.3672000650584562
2001-09-01,0.3648826645537456
2001-10-01,0.37492697586470247
2001-11-01,0.36439327127237364
2001-12-01,0.8256127039329211
2002-01-01,1.1791624347261946
2002-02-01,1.3012696395770216
2002-03-01,0.9718806217075749
2002-04-01,0.4198078168593788
2002-05-01,-0.136723109938223
2002-06-01,-0.8005397416720779
2002-07-01,-1.3924221472482778
2002-08-01,-1.9015381797546982
2002-09-01,-2.4379560634771007
2002-10-01,-2.527045135520126
