date,Price,Open,High,Low,Change
05/01/2012,28.80,22.16,31.33,20.73,32.18
04/01/2012,21.79,18.41,26.13,17.03,18.36
03/01/2012,18.41,19.05,22.96,13.76,-2.45
02/01/2012,18.87,20.67,49.97,18.02,-9.44
01/01/2012,20.84,25.97,25.98,19.07,-16.62
12/01/2011,24.99,28.88,32.21,12.43,-12.72
11/01/2011,28.64,31.20,39.24,27.98,0.80
10/01/2011,28.41,42.36,44.39,24.00,-25.93
09/01/2011,38.35,31.08,47.50,31.08,26.44
08/01/2011,30.33,21.18,91.11,19.29,54.49
07/01/2011,19.63,14.81,23.63,12.82,23.83
06/01/2011,15.85,15.70,21.52,15.55,2.20
05/01/2011,15.51,15.58,20.39,14.89,4.83
04/01/2011,14.80,16.38,18.59,11.86,-9.53
03/01/2011,16.36,17.54,28.88,15.75,-7.82
02/01/2011,17.74,17.84,20.59,15.37,-0.39
01/01/2011,17.81,19.47,20.02,8.65,-4.80
12/01/2010,18.71,25.03,25.03,14.39,-25.82
11/01/2010,25.22,20.93,26.61,17.48,24.22
10/01/2010,20.31,23.38,25.43,17.13,-14.15
09/01/2010,23.65,26.95,26.95,21.41,-13.08
08/01/2010,27.21,26.08,30.22,23.55,7.28
07/01/2010,25.36,32.41,33.87,17.14,-18.15
06/01/2010,30.99,33.65,37.61,22.63,-2.24
05/01/2010,31.70,24.68,46.63,21.17,33.87
04/01/2010,23.68,18.78,27.11,2.22,21.31
03/01/2010,19.52,21.77,22.57,18.18,-10.29
02/01/2010,21.76,26.37,30.85,9.11,-12.47
01/01/2010,24.86,25.29,40.32,18.27,2.90
12/01/2009,24.16,30.11,30.11,18.53,-22.93
11/01/2009,31.35,31.65,34.05,17.38,1.10
10/01/2009,31.01,26.81,34.26,18.18,15.32
09/01/2009,26.89,29.80,33.57,17.29,-11.75
08/01/2009,30.47,30.09,35.95,25.88,4.82
07/01/2009,29.07,30.18,37.87,24.32,-5.43
06/01/2009,30.74,33.39,37.33,28.02,-10.51
05/01/2009,34.35,38.26,41.60,31.78,-7.21
04/01/2009,37.02,44.80,46.71,34.62,-16.88
03/01/2009,44.54,50.62,57.00,38.08,-5.66
02/01/2009,47.21,53.32,58.07,39.42,-3.79
01/01/2009,49.07,45.21,61.48,39.97,6.30
12/01/2008,46.16,55.84,63.91,15.31,-15.49
11/01/2008,54.62,61.47,77.07,47.62,-11.09
10/01/2008,61.43,45.74,84.75,18.74,33.69
09/01/2008,45.95,22.78,46.27,21.68,113.52
08/01/2008,21.52,26.33,33.61,19.47,-15.51
07/01/2008,25.47,25.11,33.06,22.14,2.62
06/01/2008,24.82,19.63,26.19,19.36,30.36
05/01/2008,19.04,19.42,21.30,11.14,-5.04
04/01/2008,20.05,26.51,26.51,19.73,-24.34
03/01/2008,26.50,30.58,37.36,23.62,-7.25
02/01/2008,28.57,27.25,29.79,23.32,0.88
01/01/2008,28.32,19.01,35.36,8.81,53.91
12/01/2007,18.40,21.61,22.40,14.58,-11.92
11/01/2007,20.89,18.57,30.90,17.98,7.02
10/01/2007,19.52,19.66,22.77,14.67,5.97
09/01/2007,18.42,23.45,28.34,14.95,-20.36
08/01/2007,23.13,24.87,31.80,20.49,9.83
07/01/2007,21.06,16.02,22.71,15.49,34.91
06/01/2007,15.61,14.85,17.78,14.46,3.93
05/01/2007,15.02,17.30,17.76,14.91,-13.33
04/01/2007,17.33,17.62,17.83,15.08,-4.73
03/01/2007,18.19,19.86,21.21,14.54,15.64
02/01/2007,15.73,14.26,15.73,12.26,2.54
01/01/2007,15.34,13.02,15.70,12.91,4.92
12/01/2006,14.62,14.45,15.36,10.78,3.18
11/01/2006,14.17,13.78,14.31,12.09,0.71
10/01/2006,14.07,16.91,17.11,13.49,-14.47
09/01/2006,16.45,15.48,19.61,15.48,2.17
08/01/2006,16.10,18.90,19.99,15.50,-7.84
07/01/2006,17.47,16.64,21.66,16.37,3.50
06/01/2006,16.88,20.13,24.89,16.88,-22.32
05/01/2006,21.73,14.47,24.90,13.58,54.99
04/01/2006,14.02,12.93,14.69,12.76,9.11
03/01/2006,12.85,14.29,14.87,12.46,-14.22
02/01/2006,14.98,16.04,16.51,14.02,-8.10
01/01/2006,16.30,13.61,16.30,12.35,19.15
12/01/2005,13.68,13.32,14.57,11.53,0.37
11/01/2005,13.63,15.39,15.39,13.22,-12.74
10/01/2005,15.62,13.67,17.24,13.67,14.26
09/01/2005,13.67,15.58,15.58,13.48,-13.54
08/01/2005,15.81,14.11,16.43,13.86,15.40
07/01/2005,13.70,12.15,14.88,12.15,5.71
06/01/2005,12.96,13.06,13.47,11.77,-6.36
05/01/2005,13.84,16.36,16.36,13.02,-18.83
04/01/2005,17.05,12.33,18.00,10.12,33.62
03/01/2005,12.76,12.62,13.19,11.79,-1.85
02/01/2005,13.00,12.29,13.75,12.06,5.78
01/01/2005,12.29,13.71,13.91,11.96,-11.07
12/01/2004,13.82,15.85,15.85,12.40,-16.60
11/01/2004,16.57,18.81,18.81,15.13,-11.01
10/01/2004,18.62,16.70,20.13,15.59,5.26
09/01/2004,17.69,20.17,20.17,17.07,-15.96
08/01/2004,21.05,22.32,26.03,19.65,3.24
07/01/2004,20.39,18.65,23.46,16.73,11.24
06/01/2004,18.33,24.71,24.71,18.07,-20.51
05/01/2004,23.06,22.62,29.20,20.91,2.40
04/01/2004,22.52,23.72,23.72,18.53,-10.24
03/01/2004,25.09,19.70,31.80,18.33,31.78
02/01/2004,19.04,21.90,22.66,18.16,-11.19
01/01/2004,21.44,21.52,22.48,18.61,-1.20
12/01/2003,21.70,25.18,26.45,21.53,-14.16
11/01/2003,25.28,24.18,30.19,24.18,4.12
10/01/2003,24.28,32.93,32.93,24.28,-29.44
09/01/2003,34.41,26.61,34.41,25.48,30.44
08/01/2003,26.38,26.73,30.15,24.33,0.38
07/01/2003,26.28,34.52,34.52,26.28,-20.60
06/01/2003,33.10,33.02,34.35,31.00,1.78
05/01/2003,32.52,37.77,38.71,30.97,-13.44
04/01/2003,37.57,54.15,54.15,37.55,-33.07
03/01/2003,56.13,45.40,64.45,43.31,23.47
02/01/2003,45.46,43.00,48.28,40.95,2.53
01/01/2003,44.34,41.50,48.28,34.91,-0.23
12/01/2002,44.44,37.20,47.05,37.20,24.38
11/01/2002,35.73,45.50,50.25,35.73,-23.03
10/01/2002,46.42,63.41,64.15,46.42,-20.49
09/01/2002,58.38,49.07,60.16,47.44,24.82
08/01/2002,46.77,52.00,65.67,41.32,-5.21
07/01/2002,49.34,35.41,65.61,35.41,42.60
06/01/2002,34.60,23.07,39.24,23.07,56.00
05/01/2002,22.18,20.53,23.04,18.57,8.94
04/01/2002,20.36,18.99,21.34,18.83,15.22
03/01/2002,17.67,23.19,24.79,17.67,-26.31
02/01/2002,23.98,22.35,26.69,22.35,5.83
01/01/2002,22.66,27.70,27.70,21.94,-13.35
12/01/2001,26.15,30.94,31.23,26.15,-12.54
11/01/2001,29.90,39.08,39.08,28.06,-23.43
10/01/2001,39.05,45.09,46.25,37.63,-5.97
09/01/2001,41.53,25.59,53.83,24.92,71.68
08/01/2001,24.19,19.97,24.19,18.88,20.23
07/01/2001,20.12,18.55,24.62,18.55,6.29
06/01/2001,18.93,19.70,21.64,18.71,-6.24
05/01/2001,20.19,20.75,21.91,19.45,0.15
04/01/2001,20.16,27.45,29.72,20.16,-24.75
03/01/2001,26.79,21.14,30.95,19.05,32.36
02/01/2001,20.24,17.42,21.37,16.30,12.07
01/01/2001,18.06,22.38,22.90,17.69,-16.19
12/01/2000,21.55,21.99,25.15,20.03,-5.81
11/01/2000,22.88,20.92,22.88,18.92,9.11
10/01/2000,20.97,19.99,27.79,19.01,4.85
09/01/2000,20.00,16.83,22.59,16.83,15.14
08/01/2000,17.37,16.86,17.91,14.86,-0.74
07/01/2000,17.50,18.50,18.78,15.49,-4.06
06/01/2000,18.24,21.03,22.21,18.22,-16.94
05/01/2000,21.96,23.67,24.98,21.87,-6.39
04/01/2000,23.46,25.68,29.74,23.18,-4.24
03/01/2000,24.50,26.33,30.80,22.51,-8.75
02/01/2000,26.85,26.60,27.88,25.41,0.04
