"Date","Price","Open","High","Low","Vol.","Change %"
"11/06/2016","20.19","22.35","109.90","17.72","","-15.31%"
"10/30/2016","23.84","18.73","24.63","17.77","","31.64%"
"10/23/2016","18.11","15.83","19.17","15.74","","16.91%"
"10/16/2016","15.49","18.25","18.76","15.47","","-8.51%"
"10/09/2016","16.93","18.44","19.16","15.31","","-5.47%"
"10/02/2016","17.91","18.12","18.66","16.75","","3.59%"
"09/25/2016","17.29","16.07","20.87","15.43","","19.16%"
"09/18/2016","14.51","18.19","18.27","14.51","","-20.23%"
"09/11/2016","18.19","17.38","19.17","17.01","","21.11%"
"09/04/2016","15.02","16.17","16.43","12.88","","-3.59%"
"08/28/2016","15.58","18.08","18.45","15.56","","-7.97%"
"08/21/2016","16.93","18.74","19.16","16.89","","-6.77%"
"08/14/2016","18.16","16.51","18.81","16.06","","15.08%"
"08/07/2016","15.78","17.47","17.48","15.78","","-6.96%"
"07/31/2016","16.96","17.71","21.06","16.26","","-4.23%"
"07/24/2016","17.71","16.94","18.61","16.52","","8.58%"
"07/17/2016","16.31","18.58","19.25","16.13","","-10.19%"
"07/10/2016","18.16","20.62","21.14","17.62","","-12.44%"
"07/03/2016","20.74","22.24","26.30","20.17","","-5.56%"
"06/26/2016","21.96","32.10","32.45","21.79","","-27.74%"
"06/19/2016","30.39","30.33","37.19","24.93","","-11.55%"
"06/12/2016","34.36","29.04","38.49","29.03","","27.31%"
"06/05/2016","26.99","21.49","27.02","20.41","","29.51%"
"05/29/2016","20.84","18.91","21.77","18.78","","14.38%"
"05/22/2016","18.22","21.56","22.22","18.17","","-10.42%"
"05/15/2016","20.34","22.14","22.52","20.31","","1.29%"
"05/08/2016","20.08","22.49","22.81","19.61","","-8.69%"
"05/01/2016","21.99","21.30","24.40","21.28","","3.68%"
"04/24/2016","21.21","19.58","21.68","18.73","","12.82%"
"04/17/2016","18.80","20.59","20.77","17.84","","3.35%"
"04/10/2016","18.19","21.72","22.57","17.84","","-12.17%"
"04/03/2016","20.71","23.75","24.53","20.41","","-8.81%"
"03/27/2016","22.71","22.31","24.02","20.17","","4.13%"
"03/20/2016","21.81","19.99","22.34","18.51","","17.32%"
"03/13/2016","18.59","22.36","22.55","18.42","","-15.35%"
"03/06/2016","21.96","23.77","26.54","21.15","","-3.47%"
"02/28/2016","22.75","29.45","29.98","22.53","","-18.34%"
"02/21/2016","27.86","29.12","32.02","27.39","","-5.81%"
"02/14/2016","29.58","33.55","33.69","28.30","","-15.39%"
"02/07/2016","34.96","29.96","40.08","29.37","","20.26%"
"01/31/2016","29.07","26.63","31.29","21.97","","10.95%"
"01/24/2016","26.20","28.41","30.50","26.10","","-6.36%"
"01/17/2016","27.98","34.54","36.28","27.55","","-19.27%"
"01/10/2016","34.66","32.20","35.62","26.42","","12.10%"
"01/03/2016","30.92","25.23","31.09","24.70","","36.94%"
"12/27/2015","22.58","21.69","23.16","21.29","","9.19%"
"12/20/2015","20.68","24.46","24.73","20.40","","-11.96%"
"12/13/2015","23.49","26.04","29.98","21.29","","-8.85%"
"12/06/2015","25.77","22.60","27.00","21.00","","15.25%"
"11/29/2015","22.36","22.92","23.71","18.94","","1.04%"
"11/22/2015","22.13","22.53","25.27","20.82","","2.17%"
"11/15/2015","21.66","25.66","25.97","21.52","","-10.75%"
"11/08/2015","24.27","20.45","25.23","19.97","","21.96%"
"11/01/2015","19.90","20.97","21.08","18.86","","0.40%"
"10/25/2015","19.82","20.11","20.90","19.60","","2.27%"
"10/18/2015","19.38","22.31","40.02","18.68","","-11.55%"
"10/11/2015","21.91","23.14","25.42","21.79","","-4.53%"
"10/04/2015","22.95","29.10","29.76","22.90","","-24.18%"
"09/27/2015","30.27","30.59","34.36","26.73","","3.31%"
"09/20/2015","29.30","28.01","33.18","26.13","","6.74%"
"09/13/2015","27.45","30.71","31.98","25.69","","-12.33%"
"09/06/2015","31.31","31.78","34.10","26.65","","-6.00%"
"08/30/2015","33.31","30.58","34.70","27.75","","11.70%"
"08/23/2015","29.82","30.59","45.96","28.57","","7.27%"
"08/16/2015","27.80","21.30","27.95","20.67","","29.36%"
"08/09/2015","21.49","17.02","23.05","16.94","","26.19%"
"08/02/2015","17.03","17.77","17.91","15.81","","-1.56%"
"07/26/2015","17.30","18.01","19.91","17.27","","0.12%"
"07/19/2015","17.28","16.04","17.39","14.76","","11.13%"
"07/12/2015","15.55","23.06","23.20","15.13","","-35.85%"
"07/05/2015","24.24","28.90","131.96","23.79","","-14.29%"
"06/28/2015","28.28","26.64","29.15","23.03","","25.97%"
"06/21/2015","22.45","22.72","23.74","19.54","","-7.04%"
