"Datum","Laatste","Open","Hoog","Laag","Vol.","+/- %"
"01-06-2021","5,95","5,80","6,45","5,80","38,53K","-0,83%"
"01-05-2021","6,00","5,00","6,00","4,82","142,90K","20,00%"
"01-04-2021","5,00","3,92","5,00","3,50","80,94K","30,21%"
"01-03-2021","3,84","3,60","4,00","3,40","42,56K","6,67%"
"01-02-2021","3,60","3,80","3,80","3,45","15,69K","-1,37%"
"01-01-2021","3,65","3,60","4,00","3,52","13,41K","-7,12%"
"01-12-2020","3,93","4,35","4,35","3,75","111,03K","-9,45%"
"01-11-2020","4,34","3,99","4,35","3,74","16,79K","3,58%"
"01-10-2020","4,19","3,82","4,19","3,67","8,61K","-3,68%"
"01-09-2020","4,35","4,00","4,35","3,81","13,36K","0,00%"
"01-08-2020","4,35","4,00","4,35","3,86","8,65K","8,48%"
"01-07-2020","4,01","4,24","4,35","4,00","4,26K","-7,82%"
"01-06-2020","4,35","4,65","4,69","4,31","1,62K","-7,45%"
"01-05-2020","4,70","4,31","4,79","4,30","5,87K","-1,05%"
"01-04-2020","4,75","4,98","4,98","4,32","2,78K","-5,00%"
"01-03-2020","5,00","6,00","6,00","3,98","11,99K","-15,97%"
"01-02-2020","5,95","6,10","6,16","5,53","11,76K","-2,46%"
"01-01-2020","6,10","6,01","6,29","5,93","15,00K","1,67%"
"01-12-2019","6,00","6,25","6,29","5,91","31,44K","-4,00%"
"01-11-2019","6,25","6,34","6,34","6,15","29,30K","-1,42%"
"01-10-2019","6,34","6,36","6,39","6,10","55,32K","2,26%"
"01-09-2019","6,20","6,24","6,42","6,15","24,58K","-1,43%"
"01-08-2019","6,29","6,61","6,61","6,00","24,03K","-4,98%"
"01-07-2019","6,62","6,73","6,73","6,51","13,99K","-1,78%"
"01-06-2019","6,74","7,01","7,01","6,69","42,45K","-6,39%"
"01-05-2019","7,20","7,25","7,33","6,99","6,12K","-0,69%"
"01-04-2019","7,25","7,39","7,39","6,85","38,73K","-2,03%"
"01-03-2019","7,40","7,13","7,48","7,13","52,44K","3,64%"
"01-02-2019","7,14","7,10","7,14","7,01","23,05K","0,56%"
"01-01-2019","7,10","7,09","7,11","6,78","16,73K","0,00%"
"01-12-2018","7,10","7,18","7,18","6,79","20,82K","-1,11%"
"01-11-2018","7,18","7,34","7,34","7,10","40,29K","-2,18%"
"01-10-2018","7,34","7,19","7,36","7,00","52,17K","1,94%"
"01-09-2018","7,20","7,20","7,31","7,10","57,63K","-2,57%"
"01-08-2018","7,39","7,34","7,40","7,12","18,12K","0,00%"
"01-07-2018","7,39","7,26","7,44","7,11","9,69K","1,79%"
"01-06-2018","7,26","7,35","7,77","7,11","11,94K","-1,22%"
"01-05-2018","7,35","7,50","7,60","7,01","23,02K","-2,65%"
"01-04-2018","7,55","7,60","7,60","7,45","18,04K","0,67%"
"01-03-2018","7,50","7,60","7,85","7,43","44,66K","-1,96%"
"01-02-2018","7,65","7,84","7,85","7,40","31,64K","-2,42%"
"01-01-2018","7,84","7,31","7,95","7,30","96,15K","5,95%"
"01-12-2017","7,40","6,95","7,40","6,95","16,49K","6,47%"
"01-11-2017","6,95","6,66","7,00","6,66","43,80K","0,72%"
"01-10-2017","6,90","6,95","7,00","6,57","27,23K","0,00%"
"01-09-2017","6,90","6,56","7,00","6,55","31,70K","1,47%"
"01-08-2017","6,80","6,55","6,80","6,45","85,91K","3,82%"
"01-07-2017","6,55","6,55","6,79","6,45","34,97K","-0,76%"
"01-06-2017","6,60","6,60","6,65","6,50","31,86K","-0,75%"
"01-05-2017","6,65","6,35","6,65","6,35","13,41K","0,76%"
"01-04-2017","6,60","6,40","6,68","6,25","39,99K","3,12%"
"01-03-2017","6,40","6,26","6,40","5,83","39,60K","2,24%"
"01-02-2017","6,26","5,90","6,34","5,85","36,54K","5,03%"
"01-01-2017","5,96","5,20","5,96","5,20","26,75K","10,37%"
"01-12-2016","5,40","5,05","5,40","5,00","32,94K","3,25%"
"01-11-2016","5,23","5,65","5,99","5,00","26,22K","-14,07%"
"01-10-2016","6,09","6,55","6,55","6,09","12,64K","-5,26%"
"01-09-2016","6,42","6,55","7,68","6,09","10,18K","1,30%"
"01-08-2016","6,34","6,18","6,51","6,18","10,36K","2,67%"
"01-07-2016","6,18","6,50","6,50","5,89","19,21K","-7,98%"
"01-06-2016","6,71","7,29","7,29","6,38","24,88K","-5,56%"
"01-05-2016","7,11","7,08","7,29","6,93","14,70K","0,35%"
"01-04-2016","7,08","7,00","7,36","6,78","17,73K","-2,27%"
"01-03-2016","7,25","7,21","7,25","7,00","4,06K","0,57%"
"01-02-2016","7,21","7,45","7,45","6,90","8,66K","-6,91%"
"01-01-2016","7,74","8,15","8,15","7,17","13,58K","-7,39%"
"01-12-2015","8,36","8,40","8,46","8,06","13,41K","-1,36%"
"01-11-2015","8,47","8,57","8,57","8,33","22,05K","-2,00%"
"01-10-2015","8,65","8,66","8,73","8,26","11,20K","-0,10%"
