EUROPEAN CODE,LEI,FUND NAME,MANAGEMENT NAME,ADDRESS,INVESTMENT POLICY,CAPITAL VARIABILITY,ISIN CODE
NL3105545,724500DOWA7TEZZ37840,Main VII Co-Investment Fund I Coöperatief U.A.,MAIN CAPITAL PARTNERS B.V.,"Paleisstraat 6, 2514 , 'S-GRAVENHAGE",Equities,Closed,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
NL10052068,7245007U4X1U5ELRUR08,MKB Aandelenfonds IV B.V.,MKB Fonds Beheer B.V.,"Amsteldijk Noord 55, 1183 , AMSTELVEEN",Equities,Closed,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
NL10052065,,MKB Aandelenfonds V B.V.,MKB Fonds Beheer B.V.,"Amsteldijk Noord 55, 1183 , AMSTELVEEN",Equities,Closed,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
NL2207234,,MKB Aandelenfonds VI B.V.,MKB Fonds Beheer B.V.,"Amsteldijk Noord 55, 1183 , AMSTELVEEN",Equities,Closed,NL0015000Z62                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
NL5434444,,MKB Co-Invest V-I B.V.,MKB Fonds Beheer B.V.,"Amsteldijk Noord 55, 1183 , AMSTELVEEN",Equities,Closed,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
NL9213591,,Momentum I C.V. (Units A),NLC Fund Management B.V.,,Equities,Closed,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
NL3297214,,Momentum I C.V. (Units B),NLC Fund Management B.V.,,Equities,Closed,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
NL1379212,,Nextgen Ventures 2 C.V.,Vereniging NextGen Ventures,"Zonneoordlaan 17, 6718 , EDE",Equities,Closed,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
NL3538802,,NextGen Ventures B.V.,Vereniging NextGen Ventures,"Zonneoordlaan 17, 6718 , EDE",Equities,Closed,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
NL4614946,,NLI Capital Fonds I Coöperatief U.A.,NLI Capital Management B.V.,"Stationsweg 183, 3771 , BARNEVELD",Equities,Closed,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
NL6822969,,No Such Friends of blackbear Coöperatief U.A.,No Such Ventures II B.V.,"Mr. Treublaan 3, 1097 , AMSTERDAM",Equities,Closed,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
NL7813597,,No Such Friends of Bryq Coöperatief U.A.,No Such Ventures II B.V.,"Mr. Treublaan 3, 1097 , AMSTERDAM",Equities,Closed,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
NL6662974,,No Such Friends of Contentoo Coöperatief U.A.,No Such Ventures II B.V.,"Mr. Treublaan 3, 1097 , AMSTERDAM",Equities,Closed,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
NL8598739,,No Such Friends of E.A.Z. Coöperatief U.A.,No Such Ventures B.V.,"Pretoriusstraat 11-3, 1092 , AMSTERDAM",Equities,Closed,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
NL6489948,,No Such Friends of Exasun Coöperatief U.A.,No Such Ventures B.V.,"Pretoriusstraat 11-3, 1092 , AMSTERDAM",Equities,Closed,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
NL1015318,,No Such Friends of GoBoony Coöperatief U.A.,No Such Ventures B.V.,"Pretoriusstraat 11-3, 1092 , AMSTERDAM",Equities,Closed,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
NL2456442,,No Such Friends of Naq Coöperatief U.A.,No Such Ventures II B.V.,"Wibautstraat 99, 1091 , AMSTERDAM",Equities,Closed,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
