Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover
"European ETFS, Funds, ETVs, ETNs. Type : Funds"
"KE EUR HGHDV FD N";NL0000293348;KEHDF;"Euronext Amsterdam";EUR;7,76;7,76;7,76;7,76;"13/05/2025 10:00";CET;10817;83939,92
"KEMPEN GBL HDiv N";NL0006089229;KGHDF;"Euronext Amsterdam";EUR;39,33;39,33;39,33;39,33;"13/05/2025 10:00";CET;6271;'246638,43
"KEMPEN ORANGE FD";NL0000289627;KORAF;"Euronext Amsterdam";EUR;123,17;123,17;123,17;123,17;"13/05/2025 10:00";CET;123;15149,91
"KEMPEN ORANJE PART";NL0000440675;KORPT;"Euronext Amsterdam";EUR;258,64;258,64;258,64;258,64;"'01/04/2025 10:00";CET;601968;'155693003,52
"KEMPEN PROFIEL 0";NL0010610309;KEMP0;"Euronext Amsterdam";EUR;22,64;22,64;22,64;22,64;"'04/03/2025 10:00";CET;41;928,24
"KEMPEN PROFIEL 2";NL0000290468;LANDE;"Euronext Amsterdam";EUR;39,58;39,58;39,58;39,58;"'09/05/2025 10:00";CET;13;514,54
"KEMPEN PROFIEL 3";NL0000290476;LANNE;"Euronext Amsterdam";EUR;44,28;44,28;44,28;44,28;"13/05/2025 10:00";CET;477;21121,56
"KEMPEN PROFIEL 4";NL0000290484;LANGR;"Euronext Amsterdam";EUR;48,22;48,22;48,22;48,22;"13/05/2025 10:00";CET;103;4966,66
"KEMPEN PROFIEL 5";NL0000290492;LANOF;"Euronext Amsterdam";EUR;52,68;52,68;52,68;52,68;"12/05/2025 10:00";CET;43;2265,24
"KEMPEN SUST GHDF N";NL0014926404;KSGHD;"Euronext Amsterdam";EUR;31,58;31,58;31,58;31,58;"'07/05/2025 10:00";CET;57;1800,06
KGPFN;NL0012044739;KGPFN;"Euronext Amsterdam";EUR;18,54;18,54;18,54;18,54;"13/05/2025 10:00";CET;12;222,48
MMBAL;NL0013689201;BSBAL;"Euronext Amsterdam";EUR;154,91;154,91;154,91;154,91;"12/05/2025 11:00";CET;31;4802,21
MMEQ;NL0013689193;BSEQ;"Euronext Amsterdam";EUR;190,71;190,71;190,71;190,71;"12/05/2025 11:00";CET;18;3432,78
"OBAM N.V.";NL0006294035;OBAM;"Euronext Amsterdam";EUR;130,13;130,13;130,13;130,13;"13/05/2025 10:00";CET;4146;'539518,98
"OPT EuroRente Fd";NL0010558805;OPERF;"Euronext Amsterdam";EUR;24,81;24,81;24,81;24,81;"13/05/2025 10:00";CET;1360;33741,60
"OPT Wereld Aand Fd";NL0010558813;OPWAF;"Euronext Amsterdam";EUR;63,64;63,64;63,64;63,64;"13/05/2025 10:00";CET;10507;'668665,48
"OPTIMIX EMERG MKTS";NL0000287126;OPEMF;"Euronext Amsterdam";EUR;64,00;64,00;64,00;64,00;"13/05/2025 10:00";CET;487;31168,00
"OPTIMIX INCOM FD C";NL0000287084;OPTIN;"Euronext Amsterdam";EUR;31,19;31,19;31,19;31,19;"13/05/2025 10:00";CET;1533;47814,27
"OPTIMIX MIX FD   E";NL0000287100;OPTMF;"Euronext Amsterdam";EUR;38,35;38,35;38,35;38,35;"13/05/2025 10:00";CET;1;38,35
"RG WOCE E G";NL0011354865;ROCO;"Euronext Amsterdam";EUR;146,63;146,63;146,63;146,63;"13/05/2025 11:01";CET;1163;'170530,69
